Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinIndia
Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,3.3 sec,250 km/h,405 km,210 Wh/km,810 km/h,All Wheel Drive,4,"€ 1,38,200","£110,950","? 1,51,768"
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,N/A,"£37,545","? 2,02,088"
Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,11.4 sec,135 km/h,315 km,165 Wh/km,230 km/h,Front Wheel Drive,5,"€ 31,990","£26,795","? 2,53,466"
Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,9.7 sec,165 km/h,250 km,153 Wh/km,220 km/h,Front Wheel Drive,5,"€ 35,350","£30,550","? 1,48,821"
Lightyear One,Battery Electric Vehicle |       60 kWh,10.0 sec,150 km/h,575 km,104 Wh/km,540 km/h,All Wheel Drive,5,"€ 1,49,000",N/A,"? 2,54,141"
Tesla Roadster,Battery Electric Vehicle |       200 kWh,2.1 sec,410 km/h,970 km,206 Wh/km,920 km/h,All Wheel Drive,4,"€ 2,15,000","£189,000","? 1,13,435"
Peugeot e-208,Battery Electric Vehicle |       45 kWh,8.1 sec,150 km/h,275 km,164 Wh/km,370 km/h,Front Wheel Drive,5,"€ 30,450","£27,225","? 1,71,931"
Honda e,Battery Electric Vehicle |       28.5 kWh,9.0 sec,145 km/h,170 km,168 Wh/km,190 km/h,Rear Wheel Drive,4,"€ 33,850","£27,660","? 2,39,018"
CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle |       45 kWh,8.9 sec,160 km/h,275 km,164 Wh/km,440 km/h,Rear Wheel Drive,5,"€ 32,700","£28,500","? 2,66,224"
Audi Q4 e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 km/h,280 km,184 Wh/km,390 km/h,Rear Wheel Drive,5,"€ 41,900","£40,750","? 2,65,997"
Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle |       76 kWh,5.1 sec,217 km/h,450 km,169 Wh/km,750 km/h,All Wheel Drive,7,"€ 59,965","£54,000",N/A
Tesla Model Y Performance,Battery Electric Vehicle |       76 kWh,3.7 sec,241 km/h,430 km,177 Wh/km,720 km/h,All Wheel Drive,7,"€ 66,965","£60,000","? 2,45,572"
Porsche Taycan 4 Cross Turismo,Battery Electric Vehicle |       83.7 kWh,5.1 sec,220 km/h,405 km,207 Wh/km,850 km/h,All Wheel Drive,4,"€ 93,635","£79,340","? 1,93,619"
Skoda Enyaq iV 50,Battery Electric Vehicle |       52 kWh,11.3 sec,160 km/h,295 km,176 Wh/km,240 km/h,Rear Wheel Drive,5,"€ 33,800",N/A,"? 2,76,773"
Volkswagen e-Up!,Battery Electric Vehicle |       32.3 kWh,11.9 sec,130 km/h,205 km,158 Wh/km,170 km/h,Front Wheel Drive,4,N/A,N/A,"? 1,03,552"
SEAT Mii Electric,Battery Electric Vehicle |       32.3 kWh,12.3 sec,130 km/h,205 km,158 Wh/km,170 km/h,Front Wheel Drive,4,"€ 24,650",N/A,"? 2,09,670"
Opel Corsa-e,Battery Electric Vehicle |       45 kWh,8.1 sec,150 km/h,275 km,164 Wh/km,370 km/h,Front Wheel Drive,5,"€ 29,000","£27,140","? 1,46,353"
MG ZS EV,Battery Electric Vehicle |       42.5 kWh,8.2 sec,140 km/h,220 km,193 Wh/km,260 km/h,Front Wheel Drive,5,"€ 31,990","£25,995","? 2,33,661"
Volkswagen ID.3 Pro,Battery Electric Vehicle |       58 kWh,9.6 sec,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,"€ 34,995","£28,420","? 1,43,324"
Volkswagen ID.3 Pro S,Battery Electric Vehicle |       77 kWh,7.9 sec,160 km/h,450 km,171 Wh/km,550 km/h,Rear Wheel Drive,4,"€ 41,995","£38,800","? 2,88,582"
